Custom Label,Gender Apparel,Colour Name,Size,Picture Name,Position,Customise,BTC Product Code,BTC SKU,BTC Stock ID
M35-77094,Gildan - Softstyle Ladies Tank Top,Azalea,S,Gildan-Softstyle-Ladies-Tank-Top-Azalea,Front Center,Yes,64200L,77094,77094
M35-77095,Gildan - Softstyle Ladies Tank Top,Azalea,M,Gildan-Softstyle-Ladies-Tank-Top-Azalea,Front Center,Yes,64200L,77095,77095
M35-77096,Gildan - Softstyle Ladies Tank Top,Azalea,L,Gildan-Softstyle-Ladies-Tank-Top-Azalea,Front Center,Yes,64200L,77096,77096
M35-77097,Gildan - Softstyle Ladies Tank Top,Azalea,XL,Gildan-Softstyle-Ladies-Tank-Top-Azalea,Front Center,Yes,64200L,77097,77097
M35-77098,Gildan - Softstyle Ladies Tank Top,Azalea,2XL,Gildan-Softstyle-Ladies-Tank-Top-Azalea,Front Center,Yes,64200L,77098,77098
M35-77099,Gildan - Softstyle Ladies Tank Top,Black,S,Gildan-Softstyle-Ladies-Tank-Top-Black,Front Center,Yes,64200L,77099,77099
M35-77100,Gildan - Softstyle Ladies Tank Top,Black,M,Gildan-Softstyle-Ladies-Tank-Top-Black,Front Center,Yes,64200L,77100,77100
M35-77101,Gildan - Softstyle Ladies Tank Top,Black,L,Gildan-Softstyle-Ladies-Tank-Top-Black,Front Center,Yes,64200L,77101,77101
M35-77102,Gildan - Softstyle Ladies Tank Top,Black,XL,Gildan-Softstyle-Ladies-Tank-Top-Black,Front Center,Yes,64200L,77102,77102
M35-77103,Gildan - Softstyle Ladies Tank Top,Black,2XL,Gildan-Softstyle-Ladies-Tank-Top-Black,Front Center,Yes,64200L,77103,77103
M35-77104,Gildan - Softstyle Ladies Tank Top,Cherry Red,S,Gildan-Softstyle-Ladies-Tank-Top-Cherry-Red,Front Center,Yes,64200L,77104,77104
M35-77105,Gildan - Softstyle Ladies Tank Top,Cherry Red,M,Gildan-Softstyle-Ladies-Tank-Top-Cherry-Red,Front Center,Yes,64200L,77105,77105
M35-77106,Gildan - Softstyle Ladies Tank Top,Cherry Red,L,Gildan-Softstyle-Ladies-Tank-Top-Cherry-Red,Front Center,Yes,64200L,77106,77106
M35-77107,Gildan - Softstyle Ladies Tank Top,Cherry Red,XL,Gildan-Softstyle-Ladies-Tank-Top-Cherry-Red,Front Center,Yes,64200L,77107,77107
M35-77108,Gildan - Softstyle Ladies Tank Top,Cherry Red,2XL,Gildan-Softstyle-Ladies-Tank-Top-Cherry-Red,Front Center,Yes,64200L,77108,77108
M35-77109,Gildan - Softstyle Ladies Tank Top,Navy Blue,S,Gildan-Softstyle-Ladies-Tank-Top-Navy-Blue,Front Center,Yes,64200L,77109,77109
M35-77110,Gildan - Softstyle Ladies Tank Top,Navy Blue,M,Gildan-Softstyle-Ladies-Tank-Top-Navy-Blue,Front Center,Yes,64200L,77110,77110
M35-77111,Gildan - Softstyle Ladies Tank Top,Navy Blue,L,Gildan-Softstyle-Ladies-Tank-Top-Navy-Blue,Front Center,Yes,64200L,77111,77111
M35-77112,Gildan - Softstyle Ladies Tank Top,Navy Blue,XL,Gildan-Softstyle-Ladies-Tank-Top-Navy-Blue,Front Center,Yes,64200L,77112,77112
M35-77113,Gildan - Softstyle Ladies Tank Top,Navy Blue,2XL,Gildan-Softstyle-Ladies-Tank-Top-Navy-Blue,Front Center,Yes,64200L,77113,77113
M35-77114,Gildan - Softstyle Ladies Tank Top,Sport Grey,S,Gildan-Softstyle-Ladies-Tank-Top-Sport-Grey,Front Center,Yes,64200L,77114,77114
M35-77115,Gildan - Softstyle Ladies Tank Top,Sport Grey,M,Gildan-Softstyle-Ladies-Tank-Top-Sport-Grey,Front Center,Yes,64200L,77115,77115
M35-77116,Gildan - Softstyle Ladies Tank Top,Sport Grey,L,Gildan-Softstyle-Ladies-Tank-Top-Sport-Grey,Front Center,Yes,64200L,77116,77116
M35-77117,Gildan - Softstyle Ladies Tank Top,Sport Grey,XL,Gildan-Softstyle-Ladies-Tank-Top-Sport-Grey,Front Center,Yes,64200L,77117,77117
M35-77118,Gildan - Softstyle Ladies Tank Top,Sport Grey,2XL,Gildan-Softstyle-Ladies-Tank-Top-Sport-Grey,Front Center,Yes,64200L,77118,77118
M35-77119,Gildan - Softstyle Ladies Tank Top,White,S,Gildan-Softstyle-Ladies-Tank-Top-White,Front Center,Yes,64200L,77119,77119
M35-77120,Gildan - Softstyle Ladies Tank Top,White,M,Gildan-Softstyle-Ladies-Tank-Top-White,Front Center,Yes,64200L,77120,77120
M35-77121,Gildan - Softstyle Ladies Tank Top,White,L,Gildan-Softstyle-Ladies-Tank-Top-White,Front Center,Yes,64200L,77121,77121
M35-77122,Gildan - Softstyle Ladies Tank Top,White,XL,Gildan-Softstyle-Ladies-Tank-Top-White,Front Center,Yes,64200L,77122,77122
M35-77123,Gildan - Softstyle Ladies Tank Top,White,2XL,Gildan-Softstyle-Ladies-Tank-Top-White,Front Center,Yes,64200L,77123,77123
