UID,Barcode,SPC,Department Code,Department,Sub-department Code,Sub Department,Brand Code,Brand,Style Code,Colour Code,Colour Name,Size Scale,Size,Description,BTC Price,VAT Code,Pack Quantity,Carton Quantity,Last Changed Date,Stock Status,colour_code_url,image_url_medium_res,image_url_low_res,image_url_high_res,brand image,colour image 01,colour image 02,colour image 03,colour image 04,colour image 05,colour image 06,colour image 07,colour image 08,colour image 09,colour image 10,bullet points,Commodity Code,Origin
171688,0000001715965,61430,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,ME0028,34,Sunflower,0012  ,Large,Men's Iconic 150 T,2.09,1,12,72,08-04-2026 9:06,C,https://myebrochure.co.uk/images/colours/fotl/fotl-34.jpg,https://myebrochure.co.uk/images/products/prod_11101_61430_164462.jpg,https://myebrochure.co.uk/images/products.small/prod_11101_61430_164462.jpg,https://myebrochure.co.uk/images/products.hires/prod_11101_61430_164462.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61430_131488.jpg,https://myebrochure.co.uk/images/products.hires/prod_61430_131486.jpg,https://myebrochure.co.uk/images/products.hires/prod_61430_131487.jpg,,,,,,,,"<li>100&#37; combed ringspun cotton</li> <li>Soft hand feel</li> <li>Tailored fit</li> <li>Crew neck with 1x1 rib</li> <li>Self-fabric back neck tape</li> <li>New tear away back neck label</li> <li><b>Also available in ladies sizes code 61432, kids sizes code 61023 and girl&#39;s sizes code 61025</b></li>",61091000,MA
171689,0000001715972,61430,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,ME0028,34,Sunflower,0012  ,XL,Men's Iconic 150 T,2.09,1,12,72,08-04-2026 9:06,C,https://myebrochure.co.uk/images/colours/fotl/fotl-34.jpg,https://myebrochure.co.uk/images/products/prod_11101_61430_164462.jpg,https://myebrochure.co.uk/images/products.small/prod_11101_61430_164462.jpg,https://myebrochure.co.uk/images/products.hires/prod_11101_61430_164462.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61430_131488.jpg,https://myebrochure.co.uk/images/products.hires/prod_61430_131486.jpg,https://myebrochure.co.uk/images/products.hires/prod_61430_131487.jpg,,,,,,,,"<li>100&#37; combed ringspun cotton</li> <li>Soft hand feel</li> <li>Tailored fit</li> <li>Crew neck with 1x1 rib</li> <li>Self-fabric back neck tape</li> <li>New tear away back neck label</li> <li><b>Also available in ladies sizes code 61432, kids sizes code 61023 and girl&#39;s sizes code 61025</b></li>",61091000,MA
171690,0000001715989,61430,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,ME0028,34,Sunflower,0012  ,2XL,Men's Iconic 150 T,2.09,1,12,72,08-04-2026 9:06,C,https://myebrochure.co.uk/images/colours/fotl/fotl-34.jpg,https://myebrochure.co.uk/images/products/prod_11101_61430_164462.jpg,https://myebrochure.co.uk/images/products.small/prod_11101_61430_164462.jpg,https://myebrochure.co.uk/images/products.hires/prod_11101_61430_164462.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61430_131488.jpg,https://myebrochure.co.uk/images/products.hires/prod_61430_131486.jpg,https://myebrochure.co.uk/images/products.hires/prod_61430_131487.jpg,,,,,,,,"<li>100&#37; combed ringspun cotton</li> <li>Soft hand feel</li> <li>Tailored fit</li> <li>Crew neck with 1x1 rib</li> <li>Self-fabric back neck tape</li> <li>New tear away back neck label</li> <li><b>Also available in ladies sizes code 61432, kids sizes code 61023 and girl&#39;s sizes code 61025</b></li>",61091000,MA
171691,0000001715996,61430,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,ME0028,34,Sunflower,0012  ,3XL,Men's Iconic 150 T,2.85,1,12,36,08-04-2026 9:06,C,https://myebrochure.co.uk/images/colours/fotl/fotl-34.jpg,https://myebrochure.co.uk/images/products/prod_11101_61430_164462.jpg,https://myebrochure.co.uk/images/products.small/prod_11101_61430_164462.jpg,https://myebrochure.co.uk/images/products.hires/prod_11101_61430_164462.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61430_131488.jpg,https://myebrochure.co.uk/images/products.hires/prod_61430_131486.jpg,https://myebrochure.co.uk/images/products.hires/prod_61430_131487.jpg,,,,,,,,"<li>100&#37; combed ringspun cotton</li> <li>Soft hand feel</li> <li>Tailored fit</li> <li>Crew neck with 1x1 rib</li> <li>Self-fabric back neck tape</li> <li>New tear away back neck label</li> <li><b>Also available in ladies sizes code 61432, kids sizes code 61023 and girl&#39;s sizes code 61025</b></li>",61091000,MA
171694,0000001716023,61430,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,ME0028,36,Black,0012  ,Small,Men's Iconic 150 T,2.09,1,12,72,08-04-2026 9:06,C,https://myebrochure.co.uk/images/colours/fotl/fotl-36.jpg,https://myebrochure.co.uk/images/products/prod_11101_61430_164462.jpg,https://myebrochure.co.uk/images/products.small/prod_11101_61430_164462.jpg,https://myebrochure.co.uk/images/products.hires/prod_11101_61430_164462.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61430_131491.jpg,https://myebrochure.co.uk/images/products.hires/prod_61430_131489.jpg,https://myebrochure.co.uk/images/products.hires/prod_61430_131490.jpg,,,,,,,,"<li>100&#37; combed ringspun cotton</li> <li>Soft hand feel</li> <li>Tailored fit</li> <li>Crew neck with 1x1 rib</li> <li>Self-fabric back neck tape</li> <li>New tear away back neck label</li> <li><b>Also available in ladies sizes code 61432, kids sizes code 61023 and girl&#39;s sizes code 61025</b></li>",61091000,MA
171695,0000001716030,61430,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,ME0028,36,Black,0012  ,Medium,Men's Iconic 150 T,2.09,1,12,72,08-04-2026 9:06,C,https://myebrochure.co.uk/images/colours/fotl/fotl-36.jpg,https://myebrochure.co.uk/images/products/prod_11101_61430_164462.jpg,https://myebrochure.co.uk/images/products.small/prod_11101_61430_164462.jpg,https://myebrochure.co.uk/images/products.hires/prod_11101_61430_164462.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61430_131491.jpg,https://myebrochure.co.uk/images/products.hires/prod_61430_131489.jpg,https://myebrochure.co.uk/images/products.hires/prod_61430_131490.jpg,,,,,,,,"<li>100&#37; combed ringspun cotton</li> <li>Soft hand feel</li> <li>Tailored fit</li> <li>Crew neck with 1x1 rib</li> <li>Self-fabric back neck tape</li> <li>New tear away back neck label</li> <li><b>Also available in ladies sizes code 61432, kids sizes code 61023 and girl&#39;s sizes code 61025</b></li>",61091000,MA
171696,0000001716047,61430,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,ME0028,36,Black,0012  ,Large,Men's Iconic 150 T,2.09,1,12,72,08-04-2026 9:06,C,https://myebrochure.co.uk/images/colours/fotl/fotl-36.jpg,https://myebrochure.co.uk/images/products/prod_11101_61430_164462.jpg,https://myebrochure.co.uk/images/products.small/prod_11101_61430_164462.jpg,https://myebrochure.co.uk/images/products.hires/prod_11101_61430_164462.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61430_131491.jpg,https://myebrochure.co.uk/images/products.hires/prod_61430_131489.jpg,https://myebrochure.co.uk/images/products.hires/prod_61430_131490.jpg,,,,,,,,"<li>100&#37; combed ringspun cotton</li> <li>Soft hand feel</li> <li>Tailored fit</li> <li>Crew neck with 1x1 rib</li> <li>Self-fabric back neck tape</li> <li>New tear away back neck label</li> <li><b>Also available in ladies sizes code 61432, kids sizes code 61023 and girl&#39;s sizes code 61025</b></li>",61091000,MA
171697,0000001716054,61430,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,ME0028,36,Black,0012  ,XL,Men's Iconic 150 T,2.09,1,12,72,08-04-2026 9:06,C,https://myebrochure.co.uk/images/colours/fotl/fotl-36.jpg,https://myebrochure.co.uk/images/products/prod_11101_61430_164462.jpg,https://myebrochure.co.uk/images/products.small/prod_11101_61430_164462.jpg,https://myebrochure.co.uk/images/products.hires/prod_11101_61430_164462.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61430_131491.jpg,https://myebrochure.co.uk/images/products.hires/prod_61430_131489.jpg,https://myebrochure.co.uk/images/products.hires/prod_61430_131490.jpg,,,,,,,,"<li>100&#37; combed ringspun cotton</li> <li>Soft hand feel</li> <li>Tailored fit</li> <li>Crew neck with 1x1 rib</li> <li>Self-fabric back neck tape</li> <li>New tear away back neck label</li> <li><b>Also available in ladies sizes code 61432, kids sizes code 61023 and girl&#39;s sizes code 61025</b></li>",61091000,MA
171698,0000001716061,61430,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,ME0028,36,Black,0012  ,2XL,Men's Iconic 150 T,2.09,1,12,72,08-04-2026 9:06,C,https://myebrochure.co.uk/images/colours/fotl/fotl-36.jpg,https://myebrochure.co.uk/images/products/prod_11101_61430_164462.jpg,https://myebrochure.co.uk/images/products.small/prod_11101_61430_164462.jpg,https://myebrochure.co.uk/images/products.hires/prod_11101_61430_164462.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61430_131491.jpg,https://myebrochure.co.uk/images/products.hires/prod_61430_131489.jpg,https://myebrochure.co.uk/images/products.hires/prod_61430_131490.jpg,,,,,,,,"<li>100&#37; combed ringspun cotton</li> <li>Soft hand feel</li> <li>Tailored fit</li> <li>Crew neck with 1x1 rib</li> <li>Self-fabric back neck tape</li> <li>New tear away back neck label</li> <li><b>Also available in ladies sizes code 61432, kids sizes code 61023 and girl&#39;s sizes code 61025</b></li>",61091000,MA
171699,0000001716078,61430,TSHIRT,T-SHIRTS,MSSTSH,MENS SHORT SLEEVE T-SHIRT,FOTL,Fruit Of The Loom,ME0028,36,Black,0012  ,3XL,Men's Iconic 150 T,2.85,1,12,36,08-04-2026 9:06,C,https://myebrochure.co.uk/images/colours/fotl/fotl-36.jpg,https://myebrochure.co.uk/images/products/prod_11101_61430_164462.jpg,https://myebrochure.co.uk/images/products.small/prod_11101_61430_164462.jpg,https://myebrochure.co.uk/images/products.hires/prod_11101_61430_164462.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61430_131491.jpg,https://myebrochure.co.uk/images/products.hires/prod_61430_131489.jpg,https://myebrochure.co.uk/images/products.hires/prod_61430_131490.jpg,,,,,,,,"<li>100&#37; combed ringspun cotton</li> <li>Soft hand feel</li> <li>Tailored fit</li> <li>Crew neck with 1x1 rib</li> <li>Self-fabric back neck tape</li> <li>New tear away back neck label</li> <li><b>Also available in ladies sizes code 61432, kids sizes code 61023 and girl&#39;s sizes code 61025</b></li>",61091000,MA
