Custom Label,Gender Apparel,Colour Name,Smallize,Picture Name,Position,Customise,BTC Product Code,BTC SKU,BTC Stock ID
M278-P5-4483,Fruit Of The Loom - Mens Valueweight Athletic Vest,Red,XL,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Red,"Front Center, Back Center",Yes,61098,4483,4483
M278-P5-4484,Fruit Of The Loom - Mens Valueweight Athletic Vest,Red,2XL,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Red,"Front Center, Back Center",Yes,61098,4484,4484
M278-P5-158253,Fruit Of The Loom - Mens Valueweight Athletic Vest,Red,3XL,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Red,"Front Center, Back Center",Yes,61098,158253,158253
M278-P5-137898,Fruit Of The Loom - Mens Valueweight Athletic Vest,Royal,Small,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Royal,"Front Center, Back Center",Yes,61098,137898,137898
M278-P5-137899,Fruit Of The Loom - Mens Valueweight Athletic Vest,Royal,Medium,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Royal,"Front Center, Back Center",Yes,61098,137899,137899
M278-P5-137900,Fruit Of The Loom - Mens Valueweight Athletic Vest,Royal,Large,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Royal,"Front Center, Back Center",Yes,61098,137900,137900
M278-P5-137901,Fruit Of The Loom - Mens Valueweight Athletic Vest,Royal,XL,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Royal,"Front Center, Back Center",Yes,61098,137901,137901
M278-P5-137902,Fruit Of The Loom - Mens Valueweight Athletic Vest,Royal,2XL,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Royal,"Front Center, Back Center",Yes,61098,137902,137902
M278-P5-158256,Fruit Of The Loom - Mens Valueweight Athletic Vest,Royal,3XL,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Royal,"Front Center, Back Center",Yes,61098,158256,158256
M278-P5-4465,Fruit Of The Loom - Mens Valueweight Athletic Vest,White,Small,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-White,"Front Center, Back Center",Yes,61098,4465,4465
M278-P5-4466,Fruit Of The Loom - Mens Valueweight Athletic Vest,White,Medium,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-White,"Front Center, Back Center",Yes,61098,4466,4466
M278-P5-4467,Fruit Of The Loom - Mens Valueweight Athletic Vest,White,Large,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-White,"Front Center, Back Center",Yes,61098,4467,4467
M278-P5-4468,Fruit Of The Loom - Mens Valueweight Athletic Vest,White,XL,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-White,"Front Center, Back Center",Yes,61098,4468,4468
M278-P5-4469,Fruit Of The Loom - Mens Valueweight Athletic Vest,White,2XL,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-White,"Front Center, Back Center",Yes,61098,4469,4469
M278-P5-158244,Fruit Of The Loom - Mens Valueweight Athletic Vest,White,3XL,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-White,"Front Center, Back Center",Yes,61098,158244,158244
M278-P5-158245,Fruit Of The Loom - Mens Valueweight Athletic Vest,White,4XL,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-White,"Front Center, Back Center",Yes,61098,158245,158245
M278-P5-158246,Fruit Of The Loom - Mens Valueweight Athletic Vest,White,5XL,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-White,"Front Center, Back Center",Yes,61098,158246,158246
